filme,decada,score,nacionalidade,genero
In the Heights,2020,3,USA,Drama
Shang-Chi and the legend of the ten rings,2020,3,USA,Action
Cinderella,1950,3,USA,Animation
America: The Motion Picture,2020,3,USA,Animation
Fatherhood,2020,3,USA,Comedy
"Conjuring: The Devil Made Me Do It, The",2020,1,USA,Horror
F9 - The Fast Saga,2020,3,USA,Action
Fear Street: Part One - 1994,2020,3,USA,Drama
Luca,2020,3,USA,Animation
Fear Street: Part Two - 1978,2020,3,USA,Drama
Plan B,2020,3,USA,Comedy
To All the Boys: Always and Forever,2020,3,USA,Comedy
Space Jam: A New Legacy,2020,3,USA,Animation
Sweet Girl,2020,3,USA,Action
Old,2020,3,USA,Drama
"Hitman&#39;s Wife&#39;s Bodyguard, The",2020,0,USA,Action
Jungle Cruise,2020,3,USA,Action
Gunpowder Milkshake,2020,3,USA,Action
Pig,2020,0,USA,Drama
Secret Agent Dingledorf and His Trusty Dog Splat,2020,1,USA,Comedy
Those Who Wish Me Dead,2020,1,USA,Action
"Suicide Squad, The",2020,3,USA,Action
Fear Street: Part Three - 1666,2020,3,USA,Horror
"Marksman, The",2020,2,USA,Action
Free Guy,2020,1,USA,Action
"Green Knight, The",2020,1,USA,Adventure
Good on Paper,2020,3,USA,Comedy
Reminiscence,2020,2,USA,Mystery
Army of the Dead,2020,3,USA,Action
"Influencer, The",2020,3,USA,Comedy
No Sudden Move,2020,3,USA,Crime
"Little Things, The",2020,3,USA,Crime
Dune,1980,3,USA,Action
#Nofilter,2020,0,USA,Short
CODA,2020,3,USA,Comedy
No Time To Die,2020,2,USA,Action
"Many Saints of Newark, The",2020,2,USA,Crime
"Guilty, The",2020,1,USA,Crime
Spider-Man: No Way Home,2020,3,USA,Action
Till Death,2020,0,USA,Thriller
"Last Duel, The",2020,3,USA,Action
"Harder They Fall, The",2020,3,USA,Action
Passing,2020,3,USA,Drama
Venom Let there be Carnage,2020,2,USA,Action
Night Teeth,2020,2,USA,Action
Eternals,2020,3,USA,Action
Respect,2020,3,USA,Biography
"French Dispatch, The",2020,3,USA,Comedy
"Lost Daughter, The",2020,3,USA,Drama
Eye of the Beholder,2020,3,USA,Short
Red Notice,2020,1,USA,Action
Memoria,2020,3,USA,Drama
There&#39;s Someone Inside Your House,2020,3,USA,Horror
Encanto,2020,3,USA,Animation
Love Hard,2020,2,USA,Comedy
West Side Story,1960,3,USA,Crime
Every Time a Bell Rings,2020,3,USA,Romance
Single All The Way,2020,3,USA,Comedy
"Matrix Resurrections, The",2020,3,USA,Action
Don&#146;t Look Up,2020,3,USA,Comedy
Kate,2020,2,USA,Action
"Tender Bar, The",2020,1,USA,Biography
Licorice Pizza,2020,3,USA,Comedy
Nightmare Alley,2020,1,USA,Crime
13 Minutes,2020,3,USA,Action
tick...tick..BOOM!,2020,3,USA,Biography
Being The Ricardos,2020,3,USA,Biography
"Power of the Dog, The",2020,0,USA,Drama
Mass,2020,3,USA,Drama
"King&#39;s Man, The",2020,1,USA,Action
the fallout,2020,3,USA,Drama
Dear Evan Hansen,2020,1,USA,Drama
Sing 2,2020,3,USA,Animation
After We Fell,2020,1,USA,Drama
Ron&#39;s Gone Wrong,2020,3,USA,Animation
Godzilla Vs Kong,2020,3,USA,Action
Spencer,2020,3,USA,Biography
Dark Web: Cicada 3301,2020,3,USA,Action
Seal Team,2020,3,USA,Animation
"Card Counter, The",2020,1,USA,Crime
Ghostbusters: Afterlife,2020,3,USA,Adventure
"Batman: The Long Halloween, Part One",2020,3,USA,Animation
"Batman: The Long Halloween, Part Two",2020,1,USA,Animation
Injustice,2020,1,USA,Animation
Back to the Outback,2020,3,USA,Animation
Queen Bees,2020,3,USA,Comedy
Jolt,2020,3,USA,Action
Army of Thieves,2020,3,USA,Action
King Richard,2020,3,USA,Biography
House of Gucci,2020,2,USA,Biography
"Souvenir: Part II, The",2020,3,USA,Drama
"Hating Game, The",2020,3,USA,Comedy
Yes Day,2020,3,USA,Comedy
My Little Pony: A New Generation,2020,3,USA,Animation
On the Count of Three,2020,1,USA,Comedy
Cyrano,2020,2,USA,Drama
"Sex Lives of College Girls, The",2020,3,USA,Comedy
Queenpins,2020,3,USA,Comedy
After Yang,2020,1,USA,Drama
"Mandela Catalouge, The",2020,1,USA,Fantasy
"Hill Where Lionesses Roar, The",2020,3,USA,Drama
Clifford The Big Red Dog,2020,1,USA,Adventure
"Starling, The",2020,3,USA,Comedy
"hitman&#146;s apprentice, The",2020,3,USA,Action
Chaos Walking,2020,3,USA,Action
"Dig, The",2020,3,USA,Biography
Christmas at the Ranch,2020,1,USA,Romance
How it ends,2020,3,USA,Comedy
North Hollywood,2020,1,USA,Comedy
Bros,2020,3,USA,Comedy
"355, The",2020,3,USA,Action
"Royal Treatment, The",2020,3,USA,Comedy
Scream,2020,3,USA,Horror
Uncharted,2020,2,USA,Action
Catwoman: Hunted,2020,3,USA,Animation
"Batman , The",2020,3,USA,Action
No Exit,2020,3,USA,Drama
Umma,2020,3,USA,Drama
Ambulance,2020,2,USA,Action
