filme,decada,score,nacionalidade,genero
La cage aux folles,1970,2,Others,Comedy
Ringing Bell (Chirin no Suzu),1970,0,Others,Animation
Lo chiamavano Bulldozer,1970,0,Others,Action
Jubilee,1970,3,Others,Comedy
Life of Brian,1970,3,Others,Comedy
Die Blechtrommel,1970,3,Others,Drama
"Marriage of Maria Braun, The",1970,3,Others,Drama
Nosferatu the Vampyre,1970,0,Others,Drama
Stalker,1970,1,Others,Drama
Quadrophenia,1970,1,Others,Drama
L&#39;hypothese du tableau vole,1970,0,Others,Drama
My Brilliant Career,1970,3,Others,Biography
Meatballs,1970,3,Others,Comedy
Mad Max,1970,3,Others,Action
Rupan sansei: Kariosutoro no shiro,1970,3,Others,Animation
Osenniy marafon,1970,1,Others,Comedy
Scum,1970,0,Others,Crime
Buffet froid,1970,0,Others,Comedy
Retour &agrave; la bien-aim&eacute;e,1970,1,Others,Crime
Moskva slezam ne verit,1980,3,Others,Comedy
Atlantic City,1980,3,Others,Crime
La terrazza,1980,3,Others,Comedy
Cannibal Holocaust,1980,1,Others,Adventure
"Pepi, Luci, Bom and Other Girls Like Mom",1980,3,Others,Comedy
Nightmare City,1980,3,Others,Horror
"King and the Mockingbird, The",1980,0,Others,Animation
"Mirror Crack&#39;d, The",1980,3,Others,Crime
Indul a bakterhaz,1980,1,Others,Comedy
"Party, The",1980,3,Others,Comedy
"Woman Next Door, The",1980,3,Others,Drama
Umrao Jaan,1980,3,Others,Drama
Quest for Fire,1980,1,Others,Adventure
Das Boot,1980,0,Others,Drama
Lady Chatterley&#39;s Lover,1980,3,Others,Drama
Time Bandits,1980,1,Others,Adventure
Outland,1980,1,Others,Action
Christiane F. - Wir Kinder vom Bahnhof Zoo,1980,3,Others,Biography
Horror Planet,1980,3,Others,Horror
Der subjektive Faktor,1980,3,Others,Drama
Il marchese del Grillo,1980,3,Others,Comedy
Gregory&#39;s Girl,1980,3,Others,Comedy
Chariots of Fire,1980,1,Others,Biography
...E tu vivrai nel terrore! L&#39;aldila (The Beyond),1980,3,Others,Horror
Happy Birthday to Me,1980,3,Others,Horror
La fuga de Segovia,1980,0,Others,Crime
Diva,1980,1,Others,Crime
"Masked Avengers, The",1980,0,Others,Action
Scanners,1980,1,Others,Horror
Cannibal Ferox,1980,3,Others,Adventure
Possession,1980,1,Others,Drama
Maeve,1980,3,Others,Drama
My Bloody Valentine,1980,2,Others,Horror
Le Retour de Martin Guerre,1980,3,Others,Biography
Sophie&#39;s Choice,1980,3,Others,Drama
"Draughtsman&#39;s Contract, The",1980,2,Others,Comedy
Fanny and Alexander,1980,3,Others,Drama
Godard&#39;s Passion,1980,3,Others,Comedy
Porky&#39;s,1980,2,Others,Comedy
Countryman,1980,0,Others,Drama
Banana Joe,1980,0,Others,Action
Pink Floyd The Wall,1980,0,Others,Drama
Finye (The Wind),1980,3,Others,Drama
Tenebre,1980,2,Others,Horror
Mil gritos tiene la noche [Pieces],1980,1,Others,Horror
"Scarlet Pimpernel, The",1980,2,Others,Action
Monty Python Live at the Hollywood Bowl,1980,1,Others,Documentary
"Party 2, The",1980,3,Others,Comedy
Gandhi,1980,2,Others,Biography
Deux heures moins le quart avant Jesus-Christ,1980,2,Others,Comedy
Piratensender Power Play,1980,1,Others,Comedy
Educating Rita,1980,3,Others,Comedy
"Hunger, The",1980,3,Others,Drama
"Ballad of Narayama, The",1980,3,Others,Drama
Yellowbeard,1980,1,Others,Action
Dark Habits,1980,3,Others,Comedy
Local Hero,1980,1,Others,Comedy
Videodrome,1980,2,Others,Horror
Los renglones torcidos de Dios,1980,3,Others,Drama
Merry Christmas Mr Lawrence,1980,0,Others,Drama
Octopussy,1980,2,Others,Action
"Meaning of Life , The",1980,1,Others,Comedy
"4th Man, The",1980,1,Others,Drama
Mortelle randonn&eacute;e,1980,3,Others,Crime
El pico,1980,1,Others,Drama
Barefoot Gen,1980,3,Others,Animation
Die Supernasen,1980,1,Others,Comedy
Women&#39;s Prison Massacre,1980,3,Others,Action
Confidentially Yours,1980,2,Others,Comedy
Life Is a Bed of Roses,1980,3,Others,Comedy
Kaze no tani no Naushika,1980,3,Others,Animation
"Paris, Texas",1980,1,Others,Drama
What Have I Done to Deserve This?,1980,3,Others,Comedy
"Jewel in the Crown, The",1980,3,Others,Drama
A Private Function,1980,3,Others,Comedy
Poison for the Fairies,1980,3,Others,Fantasy
Non ci resta che piangere,1980,1,Others,Comedy
Secret Places,1980,3,Others,Drama
Another Country,1980,0,Others,Biography
Los santos inocentes,1980,3,Others,Drama
Razorback,1980,1,Others,Horror
El pico 2,1980,1,Others,Drama
Nineteen Eighty-Four,1980,1,Others,Drama
Marche &agrave; l&#39;ombre,1980,1,Others,Comedy
Zwei Nasen tanken Super,1980,1,Others,Comedy
She,1980,1,Others,Action
Emmanuelle IV,1980,3,Others,Drama
"Company of Wolves, The",1980,3,Others,Drama
Otac na sluzbenom putu,1980,3,Others,Drama
Tomo yo shizukani nemure,1980,2,Others,Crime
Sans toi ni loi (Vagabond),1980,3,Others,Drama
A Room with a View,1980,3,Others,Drama
Huang tudi (Yellow Earth),1980,0,Others,Drama
Mr Vampire (Geung si sin sang),1980,1,Others,Action
Ran,1980,1,Others,Action
Ast&eacute;rix et la Surprise de C&eacute;asar (Asterix vs. Caesar),1980,0,Others,Animation
Wetherby,1980,3,Others,Drama
Detective,1980,1,Others,Comedy
Phenomena,1980,3,Others,Crime
"Official Story, The",1980,3,Others,Drama
My Beautiful Laundrette,1980,2,Others,Comedy
Tampopo,1980,1,Others,Comedy
Come and See,1980,0,Others,Drama
"Quiet Earth, The",1980,0,Others,Drama
Dreamchild,1980,3,Others,Biography
Angel&#39;s Egg,1980,0,Others,Animation
Night on the Galactic Railroad,1980,0,Others,Animation
Ninja Terminator,1980,2,Others,Action
Esperando la carroza,1980,3,Others,Comedy
Bebukottak,1980,0,Others,Documentary
"Treasure of Swamp Castle, The",1980,2,Others,Animation
Les specialistes,1980,0,Others,Adventure
Sindhu Bhairavi,1980,2,Others,Drama
Die Einsteiger,1980,1,Others,Comedy
My Life as a Dog,1980,1,Others,Drama
Tenk&ucirc; no shiro Rapyuta,1980,3,Others,Animation
Kin-Dza-Dza,1980,0,Others,Comedy
"Adventures of Milo and Otis, The",1980,1,Others,Adventure
Project A-ko,1980,3,Others,Animation
Crocodile Dundee,1980,3,Others,Action
Asterix in Britain (Asterix chez les Bretons),1980,0,Others,Animation
Rosa Luxemburg,1980,3,Others,Biography
Il caso Moro,1980,0,Others,Crime
Peking Opera Blues,1980,3,Others,Action
"Name Of The Rose, The",1980,0,Others,Drama
Matador,1980,3,Others,Drama
"Fugitives, The",1980,0,Others,Comedy
Pirates,1980,0,Others,Action
Macskafogo,1980,1,Others,Animation
Terrorizers,1980,2,Others,Crime
Betty Blue,1980,2,Others,Drama
Flying,1980,3,Others,Drama
L&#39;&eacute;t&eacute; en pente douce,1980,0,Others,Comedy
Babette&#39;s Feast,1980,3,Others,Drama
"Wonderful Wizard of Oz, The",1980,3,Others,Animation
Around the World in Eighty Ways,1980,3,Others,Comedy
Withnail &amp; I,1980,1,Others,Comedy
Bagdad Cafe,1980,3,Others,Comedy
I&#39;ve Heard the Mermaids Singing,1980,3,Others,Comedy
Wings of Desire,1980,0,Others,Drama
Maurice,1980,2,Others,Drama
High Tide,1980,3,Others,Drama
"Last Emperor, The",1980,3,Others,Biography
Hellraiser,1980,3,Others,Horror
Ngati,1980,3,Others,Drama
"Gate, The",1980,2,Others,Fantasy
Au Revoir Les Enfants,1980,1,Others,Drama
Bad Taste,1980,0,Others,Comedy
El bosque animado,1980,3,Others,Comedy
La ley del deseo,1980,3,Others,Comedy
Epidemic,1980,1,Others,Drama
A Better Tomorrow II,1980,0,Others,Action
Emmanuelle 5,1980,0,Others,Action
Where is the friend&#39;s house,1980,0,Others,Drama
Opera,1980,3,Others,Crime
Tonari no Totoro,1980,3,Others,Animation
L&#39;etudiante,1980,3,Others,Comedy
Akira,1980,1,Others,Animation
Women on the Verge of a Nervous Breakdown,1980,3,Others,Comedy
"Distant Voices, Still Lives",1980,3,Others,Drama
Appleseed,2000,3,Others,Animation
Rock &#39;n&#39; Roll Mom,1980,3,Others,Adventure
Dead Ringers,1980,2,Others,Drama
Cinema Paradiso,1980,1,Others,Drama
Gakk&ocirc; no kaidan G,1980,0,Others,Horror
Hellbound: Hellraiser II,1980,1,Others,Horror
Spoorloos,1980,1,Others,Mystery
