movie,decade,rating,country,genre
"Invisible Man, The",1930,1,USA,"Horror, Sci-Fi"
Emma.,2020,3,USA,"Comedy, Drama, Romance"
Bad Boys For Life,2020,2,USA,"Action, Comedy, Crime"
Blow the Man Down,2020,3,USA,"Comedy, Crime, Drama"
Stargirl,2020,3,USA,"Comedy, Drama, Family"
Trolls World Tour,2020,3,USA,"Animation, Adventure, Comedy"
My Spy,2020,3,USA,"Action, Comedy"
Extraction,2010,2,USA,"Action, Thriller"
"Half of It, The",2020,3,USA,"Comedy, Drama"
Scoob,2020,3,USA,"Animation, Adventure, Comedy"
Shirley,2020,3,USA,"Biography, Drama, Mystery"
"last days of american crime, The",2020,0,USA,"Action, Crime, Drama"
"High Note, The",2020,3,USA,"Drama, Music, Romance"
"Hunt, The",2020,3,USA,"Action, Horror, Thriller"
Never Rarely Sometimes Always,2020,3,USA,Drama
Palm Springs,2020,3,USA,"Comedy, Fantasy, Mystery"
"Old Guard, The",2020,3,USA,"Action, Thriller"
Greyhound,2020,0,USA,"Action, Drama, History"
Artemis Fowl,2020,3,USA,"Adventure, Family, Fantasy"
Legacy of Lies,2020,3,USA,"Action, Thriller"
Hamilton,2020,3,USA,"Biography, Drama, History"
Underwater,2020,3,USA,"Action, Horror, Sci-Fi"
Work It,2020,3,USA,"Comedy, Music"
Tenet,2020,1,USA,"Action, Sci-Fi, Thriller"
Bill &amp; Ted Face the Music,2020,3,USA,"Adventure, Comedy, Music"
Mulan,1990,3,USA,"Animation, Adventure, Comedy"
Phineas and Ferb the Movie: Candace Against the Universe,2020,3,USA,"Animation, Adventure, Comedy"
Enola Holmes,2020,3,USA,"Action, Adventure, Crime"
"New Mutants, The",2020,3,USA,"Action, Horror, Mystery"
"King of Staten Island, The",2020,3,USA,"Comedy, Drama"
Unhinged,2020,3,USA,"Action, Thriller"
Eurovision Song Contest: The Story of Fire Saga,2020,3,USA,"Comedy, Music"
"Trial of the Chicago 7, The",2020,1,USA,"Drama, History, Thriller"
Bad Hair,2020,3,USA,"Comedy, Horror, Music"
Scare Me,2020,1,USA,"Comedy, Horror"
Over the Moon,2020,3,USA,"Animation, Adventure, Comedy"
Freaky,2020,3,USA,"Comedy, Horror, Thriller"
Jiu Jitsu,2020,1,USA,"Action, Sci-Fi, Thriller"
"Witches, The",1990,3,USA,"Adventure, Comedy, Family"
Godmothered,2020,3,USA,"Comedy, Drama, Family"
Mariah Carey&#39;s Magical Christmas Special,2020,3,USA,"Adventure, Family, Fantasy"
Fantasy Island,2020,3,USA,"Fantasy, Horror, Mystery"
Relic,2020,3,USA,"Drama, Horror, Mystery"
"Prom, The",2020,3,USA,"Comedy, Drama, Musical"
Happiest Season,2020,3,USA,"Comedy, Romance"
Gretel &amp; Hansel,2020,3,USA,"Fantasy, Horror, Mystery"
